Classification,Year,Period,Period_desc.,Aggregate Level,Trade_flow,Reporter_code,Reporter,Reporter_ISO,Partner_code,Commodity_code,Commodity,Qty_unit_code,Qty_unit,Qty,Alt_qty_unit,Netweight_kg,Trade_value_usd
H5,2018,2018,2018,4,Export,218,Ecuador,ECU,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,5410420,5385497,3830391
H5,2018,2018,2018,6,Import,218,Ecuador,ECU,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,5802952,5780691,2499247
H5,2018,2018,2018,6,Export,218,Ecuador,ECU,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,1283308,1280474,705086
H5,2018,2018,2018,6,Import,218,Ecuador,ECU,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,213046,211705,130653
H5,2018,2018,2018,6,Export,218,Ecuador,ECU,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,40895,40895,38850
H5,2018,2018,2018,6,Import,218,Ecuador,ECU,0,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,36843,35989,30090
H5,2018,2018,2018,6,Import,218,Ecuador,ECU,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,2368927,2097132,1004687
H5,2018,2018,2018,6,Export,218,Ecuador,ECU,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,4086217,4064128,3086454
H5,2018,2018,2018,4,Import,222,El Salvador,SLV,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,7157306,,4591898
H5,2018,2018,2018,4,Export,222,El Salvador,SLV,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,10890980,10890980,5685988
H5,2018,2018,2018,6,Import,222,El Salvador,SLV,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,3552391,3552391,2168482
H5,2018,2018,2018,6,Export,222,El Salvador,SLV,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,66088,66088,27218
H5,2018,2018,2018,6,Import,222,El Salvador,SLV,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,2,2,0
H5,2018,2018,2018,6,Export,222,El Salvador,SLV,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,52624,52624,44302
H5,2018,2018,2018,6,Import,222,El Salvador,SLV,0,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,758211,,497633
H5,2018,2018,2018,6,Export,222,El Salvador,SLV,0,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,48445,48445,20309
H5,2018,2018,2018,6,Import,222,El Salvador,SLV,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,2846701,2846701,1925783
H5,2018,2018,2018,6,Export,222,El Salvador,SLV,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,10723823,10723823,5594157
H5,2018,2018,2018,4,Import,233,Estonia,EST,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,2807856,2807856,867958
H5,2018,2018,2018,4,Export,233,Estonia,EST,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,14037685,14037685,5891883
H5,2018,2018,2018,6,Import,233,Estonia,EST,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,1975190,1975190,350623
H5,2018,2018,2018,6,Export,233,Estonia,EST,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,6862025,6862025,2742795
H5,2018,2018,2018,6,Export,233,Estonia,EST,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,316650,316650,100438
H5,2018,2018,2018,6,Export,233,Estonia,EST,0,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,7700,7700,1810
